Filename,FileURL,Maximum Intensity,Weighted pattern R-factor (R_wp),Goodness of Fit,Calcite phase present,Calcite unit-cell length a,Calcite unit-cell length b,Calcite unit-cell length c,Calcite unit-cell angle alpha,Calcite unit-cell angle beta,Calcite unit-cell angle gamma,Calcite weight percentage,Vaterite phase present,Vaterite unit-cell length a,Vaterite unit-cell length b,Vaterite unit-cell length c,Vaterite unit-cell angle alpha,Vaterite unit-cell angle beta,Vaterite unit-cell angle gamma,Vaterite weight percentage,Additive - label,Additive - concentration,Additive - ChEBI URL,Additive - ChEBI molecule class URLs,Additive - ChEBI molecule class names,Additive - name,Additive - IUPAC name,Additive - formula,Additive - mass,Additive - canonical SMILES,Additive - standard InChI,Additive - standard InChIKey,Additive – pKa (COOH group),Additive – pKb (NH2 group),Additive – pKc (other group),Additive – pI
578568-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/wzk4k-g7d83/files/578568-mythen_summed.xye/content,2044343.39,6.17207,7.68112,TRUE,4.99646,4.99646,17.05847,90,90,120,100,FALSE,,,,90,90,120,0,AdiAci,0,,,,,,,,,,,4.41,5.41,,
578569-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/64ngj-1tg41/files/578569-mythen_summed.xye/content,2092729.84,7.3142,8.99393,TRUE,4.99266,4.99266,17.06417,90,90,120,87.83883,TRUE,4.12708,4.12708,8.47056,90,90,120,12.16117,AdiAci,0.2,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578570-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/grjka-z2z39/files/578570-mythen_summed.xye/content,1754336.15,7.24597,8.6248,TRUE,4.99251,4.99251,17.06537,90,90,120,80.68713,TRUE,4.12663,4.12663,8.47351,90,90,120,19.31287,AdiAci,0.3,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578571-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/0khvw-fr334/files/578571-mythen_summed.xye/content,1231102.74,6.07911,7.14163,TRUE,4.99255,4.99255,17.06367,90,90,120,66.92936,TRUE,4.12723,4.12723,8.47062,90,90,120,33.07064,AdiAci,0.4,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578572-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/bww7m-sw318/files/578572-mythen_summed.xye/content,69476.39,1.59139,1.63523,TRUE,4.99151,4.99151,17.08244,90,90,120,78.06069,TRUE,4.12752,4.12752,8.47219,90,90,120,21.93931,AdiAci,0.5,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578573-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/w1ce9-a2b63/files/578573-mythen_summed.xye/content,2529250.72,8.02328,9.8898,TRUE,4.99411,4.99411,17.06105,90,90,120,100,FALSE,,,,90,90,120,0,AdiAci,0.6,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578574-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/artyd-0hw49/files/578574-mythen_summed.xye/content,2561466.3235210003,8.3854,10.38028,TRUE,4.99286,4.99286,17.06275,90,90,120,89.59964,TRUE,4.12711,4.12711,8.47122,90,90,120,10.40036,AdiAci,0.7,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578575-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/6c7v9-cbg79/files/578575-mythen_summed.xye/content,2785829.96,9.28219,11.57015,TRUE,4.99217,4.99217,17.06549,90,90,120,100,FALSE,,,,90,90,120,0,AdiAci,0.8,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578576-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/bn66p-mye29/files/578576-mythen_summed.xye/content,361764.61,2.96679,3.14391,TRUE,4.9907,4.9907,17.07187,90,90,120,88.77094,TRUE,4.12706,4.12706,8.47088,90,90,120,11.22906,AdiAci,1,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578728-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/4c5bw-gb618/files/578728-mythen_summed.xye/content,1450246.46,6.09325,7.50996,TRUE,4.9911,4.9911,17.06857,90,90,120,70.81074,TRUE,4.12786,4.12786,8.4707,90,90,120,29.18926,AdiAci,0,,,,,,,,,,,4.41,5.41,,
