Filename,r_wp,gof,bkg_scale,degree_of_crystallinity,Calcite_a,Calcite_a_err,Calcite_b,Calcite_b_err,Calcite_c,Calcite_c_err,Calcite_al,Calcite_be,Calcite_ga,Calcite_Strain_G,Calcite_Strain_L,Calcite_scale,Calcite_wp,Calcite_cabeq,Calcite_cbeq,Calcite_obeq,Vaterite_a,Vaterite_a_err,Vaterite_b,Vaterite_b_err,Vaterite_c,Vaterite_c_err,Vaterite_al,Vaterite_be,Vaterite_ga,Vaterite_strain_g,Vaterite_strain_l,Vaterite_scale,Vaterite_wp,Vaterite_cabeq,Vaterite_cbeq,Vaterite_obeq,Additive,Additive:Ca ions,Calcite Phase Out,Vaterite Phase Out,Amorphous,ycalc,yobs,Model to Use,degree_of_crystallinity_zscore_Additive,degree_of_crystallinity_zscore_vs_Control,degree_of_crystallinity_zscore_vs_AllAdditives,Calcite_a_zscore_Additive,Calcite_a_zscore_vs_Control,Calcite_a_zscore_vs_AllAdditives,Calcite_c_zscore_Additive,Calcite_c_zscore_vs_Control,Calcite_c_zscore_vs_AllAdditives,Vaterite_a_zscore_Additive,Vaterite_a_zscore_vs_Control,Vaterite_a_zscore_vs_AllAdditives,Vaterite_c_zscore_Additive,Vaterite_c_zscore_vs_Control,Vaterite_c_zscore_vs_AllAdditives,Calcite_wp_zscore_Additive,Calcite_wp_zscore_vs_Control,Calcite_wp_zscore_vs_AllAdditives,Vaterite_wp_zscore_Additive,Vaterite_wp_zscore_vs_Control,Vaterite_wp_zscore_vs_AllAdditives
578568-mythen_summed.xye,6.17207,7.68112,0.85536,59.33704,4.99646,1e-05,4.99646,1e-05,17.05847,5e-05,90.0,90.0,120.0,0.17019,0.04962,0.01395,100.0,1.09077,1.08163,1.30063,,0.00141,,0.00141,,0.00638,90.0,90.0,120.0,0.36317,0.78479,0.00158,0.0,1.99609,0.09424,1.99609,AdiAci,0.0,578568-mythen_summed_a_phase_out.txt,,578568-mythen_summed_amor_phase_out.txt,578568-mythen_summed_ycalc.txt,578568-mythen_summed_yobs.txt,Calcite,-0.4295630531514023,-0.2607871588905627,0.04987714404912567,5.08508051605749,0.16268920621289482,0.6906761537395327,-1.7858756762906467,0.1750830575700577,-0.9700603880343428,,,,,,,1.2871615798457339,0.9397959801639248,1.3809271936971441,-1.2871615798457339,-0.9397959801639244,-1.3809271936971441
578569-mythen_summed.xye,7.3142,8.99393,0.85631,60.97497,4.99266,1e-05,4.99266,1e-05,17.06417,4e-05,90.0,90.0,120.0,0.04765,0.03511,0.01126,87.83883,0.87181,0.90068,1.17867,4.12708,0.00022,4.12708,0.00022,8.47056,0.00094,90.0,90.0,120.0,0.22335,0.9186,0.01387,12.16117,0.50787,0.00037,0.24638,AdiAci,0.2,578569-mythen_summed_a_phase_out.txt,578569-mythen_summed_b_phase_out.txt,578569-mythen_summed_amor_phase_out.txt,578569-mythen_summed_ycalc.txt,578569-mythen_summed_yobs.txt,Both,-0.05612601801518889,0.19916330367677024,0.33708765686166314,0.47697893552932163,-1.8403403006786856,-1.2113861997566229,-0.6939679937761367,1.4592108999831246,-0.4728594769790653,-0.25436269832144526,-0.389490876913527,-0.39213816752686853,-0.8888472334600482,-0.5161064644464762,-0.6061697869462735,0.7818096865143912,0.46809489922421227,0.9887080796984392,-0.7818096865143912,-0.4680948992242118,-0.9887080796984393
578570-mythen_summed.xye,7.24597,8.6248,0.86455,61.98826,4.99251,1e-05,4.99251,1e-05,17.06537,4e-05,90.0,90.0,120.0,0.09369,0.00869,0.00895,80.68713,0.82978,0.87759,1.15885,4.12663,0.00016,4.12663,0.00016,8.47351,0.00071,90.0,90.0,120.0,0.53107,0.75225,0.01905,19.31287,0.94834,0.0,0.73508,AdiAci,0.3,578570-mythen_summed_a_phase_out.txt,578570-mythen_summed_b_phase_out.txt,578570-mythen_summed_amor_phase_out.txt,578570-mythen_summed_ycalc.txt,578570-mythen_summed_yobs.txt,Both,0.17489729392926143,0.48370733438312064,0.514767741192383,0.2950801889299507,-1.9194072548979053,-1.2864676084470852,-0.4640926921940271,1.7295536036491597,-0.36818560096737896,-1.390257190834252,-0.7737481423278502,-0.7675081086595672,1.1745481299305032,0.6718607183795695,0.27433670670768456,0.48462404273687915,0.19069851215318664,0.7580531807385086,-0.4846240427368793,-0.19069851215318637,-0.7580531807385088
578571-mythen_summed.xye,6.07911,7.14163,0.91167,58.49441,4.99255,1e-05,4.99255,1e-05,17.06367,4e-05,90.0,90.0,120.0,0.06346,0.01161,0.00587,66.92936,0.83687,0.91843,1.13952,4.12723,0.0001,4.12723,0.0001,8.47062,0.00044,90.0,90.0,120.0,0.41736,0.78803,0.0258,33.07064,0.80346,0.00195,0.59036,AdiAci,0.4,578571-mythen_summed_a_phase_out.txt,578571-mythen_summed_b_phase_out.txt,578571-mythen_summed_amor_phase_out.txt,578571-mythen_summed_ycalc.txt,578571-mythen_summed_yobs.txt,Both,-0.6216770317199785,-0.4974078070703459,-0.09787776269977619,0.3435865213558034,-1.898322733773061,-1.2664458994632286,-0.789749369435746,1.3465681067884763,-0.5164735919841154,0.12426879918132898,-0.2614051217759249,-0.2670148538164629,-0.8468798701371749,-0.491944420050201,-0.588261180295823,-0.08707383810165394,-0.34293065184336524,0.31434090963318234,0.08707383810165394,0.34293065184336563,-0.31434090963318256
578572-mythen_summed.xye,1.59139,1.63523,1.0043,68.52662,4.99151,3e-05,4.99151,3e-05,17.08244,0.00012,90.0,90.0,120.0,0.06692,0.12125,0.00041,78.06069,0.83158,1.14399,0.97674,4.12752,0.0006,4.12752,0.0006,8.47219,0.00238,90.0,90.0,120.0,0.41018,1.11682,0.00102,21.93931,0.06223,0.41801,7e-05,AdiAci,0.5,578572-mythen_summed_a_phase_out.txt,578572-mythen_summed_b_phase_out.txt,578572-mythen_summed_amor_phase_out.txt,578572-mythen_summed_ycalc.txt,578572-mythen_summed_yobs.txt,Both,1.6655994442367932,2.3197575358152642,1.66126712062434,-0.9175781217357534,-2.446520283027441,-1.7870103330515004,2.8058834728088105,5.575178563295369,1.1208002852976426,0.856289694354256,-0.01377266184292417,-0.025109780642715598,0.2512661368198347,0.14029574165722233,-0.11965263960540955,0.3754835219875456,0.08882553553800077,0.6733458729900963,-0.37548352198754587,-0.08882553553800063,-0.6733458729900966
578573-mythen_summed.xye,8.02328,9.8898,0.82264,61.03089,4.99411,1e-05,4.99411,1e-05,17.06105,4e-05,90.0,90.0,120.0,0.07639,0.02874,0.01387,100.0,0.91684,0.92233,1.31077,,0.00381,,0.00381,,0.01705,90.0,90.0,120.0,0.78352,0.08163,0.00041,0.0,2.0,1e-05,2.0,AdiAci,0.6,578573-mythen_summed_a_phase_out.txt,,578573-mythen_summed_amor_phase_out.txt,578573-mythen_summed_ycalc.txt,578573-mythen_summed_yobs.txt,Calcite,-0.043376633728426185,0.21486631288153812,0.3468932113581784,2.2353334859942158,-1.0760264098910226,-0.4855992490803763,-1.2916437778890772,0.7563198704520734,-0.7450115546092018,,,,,,,1.2871615798457339,0.9397959801639248,1.3809271936971441,-1.2871615798457339,-0.9397959801639244,-1.3809271936971441
578574-mythen_summed.xye,8.3854,10.38028,0.8115,60.63909,4.99286,1e-05,4.99286,1e-05,17.06275,4e-05,90.0,90.0,120.0,0.07589,0.01122,0.01292,89.59964,0.91277,0.8468,1.20686,4.12711,0.00023,4.12711,0.00023,8.47122,0.00101,90.0,90.0,120.0,0.42121,0.70215,0.01335,10.40036,1.16906,0.0,0.69536,AdiAci,0.7,578574-mythen_summed_a_phase_out.txt,578574-mythen_summed_b_phase_out.txt,578574-mythen_summed_amor_phase_out.txt,578574-mythen_summed_ycalc.txt,578574-mythen_summed_yobs.txt,Both,-0.13270440131700892,0.10484415611422837,0.2781912039952561,0.7195105976628933,-1.7349176950525913,-1.111277654835562,-0.9659871006480388,1.1393053673119564,-0.5967235635927752,-0.17863639882133883,-0.3638737258861583,-0.3671135047849356,-0.427206236904714,-0.2503239760853027,-0.4091751137897265,0.854979345954787,0.5363922735993302,1.0454972980154313,-0.8549793459547873,-0.53639227359933,-1.0454972980154318
578575-mythen_summed.xye,9.28219,11.57015,0.83838,60.22418,4.99217,1e-05,4.99217,1e-05,17.06549,4e-05,90.0,90.0,120.0,0.07913,0.0049,0.01382,100.0,0.88089,0.83341,1.20587,,0.00155,,0.00155,,0.00692,90.0,90.0,120.0,0.62963,0.60976,0.00203,0.0,1.99999,0.00011,0.001,AdiAci,0.8,578575-mythen_summed_a_phase_out.txt,,578575-mythen_summed_amor_phase_out.txt,578575-mythen_summed_ycalc.txt,578575-mythen_summed_yobs.txt,Calcite,-0.22730109363497664,-0.011667566867715435,0.205436865365979,-0.11722363669679794,-2.0986256844621254,-1.4566521348127552,-0.4411051620360203,1.7565878740155232,-0.3577182133663033,,,,,,,1.2871615798457339,0.9397959801639248,1.3809271936971441,-1.2871615798457339,-0.9397959801639244,-1.3809271936971441
578576-mythen_summed.xye,2.96679,3.14391,0.99314,61.06441,4.9907,1e-05,4.9907,1e-05,17.07187,4e-05,90.0,90.0,120.0,0.05103,0.01855,0.00186,88.77094,0.93883,0.87306,1.16878,4.12706,0.00028,4.12706,0.00028,8.47088,0.00114,90.0,90.0,120.0,0.27075,0.61099,0.0021,11.22906,0.90674,0.03076,0.16064,AdiAci,1.0,578576-mythen_summed_a_phase_out.txt,578576-mythen_summed_b_phase_out.txt,578576-mythen_summed_amor_phase_out.txt,578576-mythen_summed_ycalc.txt,578576-mythen_summed_yobs.txt,Both,-0.03573429894136754,0.22427913241916084,0.35277093286610434,-1.8998313533740798,-2.8734818358119765,-2.192449939980708,0.781065191374769,3.1939099151723833,0.1987978940954829,-0.3048468979889302,-0.4065689775986923,-0.40882127602173746,-0.6650212957372288,-0.3872422276658648,-0.5106572181435169,0.8205430940149092,0.5042490928219264,1.0187702660135167,-0.8205430940149094,-0.5042490928219261,-1.018770266013517
578728-mythen_summed.xye,6.09325,7.50996,0.88342,60.90285,4.9911,1e-05,4.9911,1e-05,17.06857,6e-05,90.0,90.0,120.0,0.12808,0.06712,0.00905,70.81074,0.90838,0.79772,1.15406,4.12786,0.0001,4.12786,0.0001,8.4707,0.00042,90.0,90.0,120.0,0.38245,0.83945,0.03316,29.18926,0.93993,0.0,0.99451,AdiAci,0.0,578728-mythen_summed_a_phase_out.txt,578728-mythen_summed_b_phase_out.txt,578728-mythen_summed_amor_phase_out.txt,578728-mythen_summed_ycalc.txt,578728-mythen_summed_yobs.txt,Both,-0.07256889345798748,0.17891113944487066,0.3244414374359003,-1.4147680291080136,-2.662636624560256,-1.9922328501390305,0.1489081120244781,2.450467480091387,-0.08905526493642203,1.7145210886970164,0.27655504980336904,0.25850306376857446,-0.7909233857058487,-0.4597283608546905,-0.5643830380948687,0.07421514410469655,-0.19238172098081022,0.43952223878920027,-0.0742151441046967,0.1923817209808105,-0.4395222387892006
