Filename,ML Task Target,Excluded (True/False),Split (train/test/validation)
578568-mythen_summed.xye,good,False,
578569-mythen_summed.xye,good,False,
578570-mythen_summed.xye,good,False,
578571-mythen_summed.xye,good,False,
578572-mythen_summed.xye,good,False,
578573-mythen_summed.xye,good,False,
578574-mythen_summed.xye,good,False,
578575-mythen_summed.xye,good,False,
578576-mythen_summed.xye,good,False,
578728-mythen_summed.xye,bad,False,
578729-mythen_summed.xye,good,False,
578731-mythen_summed.xye,good,False,
578733-mythen_summed.xye,good,False,
578734-mythen_summed.xye,good,False,
578735-mythen_summed.xye,good,False,
579124-mythen_summed.xye,good,False,
579126-mythen_summed.xye,good,False,
579127-mythen_summed.xye,good,False,
578661-mythen_summed.xye,bad,False,
578662-mythen_summed.xye,good,False,
578663-mythen_summed.xye,bad,False,
578664-mythen_summed.xye,good,False,
578665-mythen_summed.xye,good,False,
578823-mythen_summed.xye,good,False,
578824-mythen_summed.xye,good,False,
578825-mythen_summed.xye,good,False,
578826-mythen_summed.xye,bad,False,
578828-mythen_summed.xye,good,False,
578829-mythen_summed.xye,good,False,
578830-mythen_summed.xye,good,False,
578831-mythen_summed.xye,good,False,
578832-mythen_summed.xye,good,False,
579038-mythen_summed.xye,bad,False,
579039-mythen_summed.xye,good,False,
579040-mythen_summed.xye,good,False,
579041-mythen_summed.xye,good,False,
579042-mythen_summed.xye,good,False,
579043-mythen_summed.xye,good,False,
579044-mythen_summed.xye,good,False,
579045-mythen_summed.xye,good,False,
579046-mythen_summed.xye,good,False,
579177-mythen_summed.xye,good,False,
579178-mythen_summed.xye,bad,False,
579179-mythen_summed.xye,good,False,
579180-mythen_summed.xye,good,False,
579182-mythen_summed.xye,good,False,
579183-mythen_summed.xye,good,False,
579185-mythen_summed.xye,good,False,
579186-mythen_summed.xye,good,False,
578603-mythen_summed.xye,good,False,
578604-mythen_summed.xye,good,False,
578605-mythen_summed.xye,good,False,
578606-mythen_summed.xye,good,False,
578607-mythen_summed.xye,good,False,
578608-mythen_summed.xye,good,False,
578609-mythen_summed.xye,good,False,
578610-mythen_summed.xye,good,False,
578611-mythen_summed.xye,good,False,
578967-mythen_summed.xye,good,False,
578968-mythen_summed.xye,good,False,
578969-mythen_summed.xye,good,False,
578970-mythen_summed.xye,good,False,
578971-mythen_summed.xye,good,False,
578972-mythen_summed.xye,good,False,
578973-mythen_summed.xye,good,False,
578974-mythen_summed.xye,good,False,
578975-mythen_summed.xye,good,False,
579141-mythen_summed.xye,good,False,
579142-mythen_summed.xye,good,False,
579143-mythen_summed.xye,good,False,
579144-mythen_summed.xye,good,False,
579145-mythen_summed.xye,good,False,
579146-mythen_summed.xye,good,False,
579147-mythen_summed.xye,good,False,
579148-mythen_summed.xye,good,False,
578472-mythen_summed.xye,good,False,
578473-mythen_summed.xye,good,False,
578474-mythen_summed.xye,good,False,
578475-mythen_summed.xye,good,False,
578476-mythen_summed.xye,good,False,
578477-mythen_summed.xye,good,False,
578480-mythen_summed.xye,good,False,
578807-mythen_summed.xye,good,False,
578808-mythen_summed.xye,bad,False,
578809-mythen_summed.xye,good,False,
578810-mythen_summed.xye,bad,False,
578811-mythen_summed.xye,bad,False,
578812-mythen_summed.xye,good,False,
578813-mythen_summed.xye,good,False,
578814-mythen_summed.xye,good,False,
579021-mythen_summed.xye,good,False,
579022-mythen_summed.xye,good,False,
579023-mythen_summed.xye,good,False,
579024-mythen_summed.xye,good,False,
579025-mythen_summed.xye,good,False,
579026-mythen_summed.xye,bad,False,
579027-mythen_summed.xye,good,False,
579028-mythen_summed.xye,good,False,
579029-mythen_summed.xye,good,False,
579030-mythen_summed.xye,good,False,
579031-mythen_summed.xye,good,False,
579032-mythen_summed.xye,good,False,
579033-mythen_summed.xye,good,False,
579034-mythen_summed.xye,good,False,
579035-mythen_summed.xye,good,False,
579036-mythen_summed.xye,good,False,
578412-mythen_summed.xye,good,False,
578413-mythen_summed.xye,good,False,
578414-mythen_summed.xye,good,False,
578415-mythen_summed.xye,good,False,
578416-mythen_summed.xye,good,False,
578417-mythen_summed.xye,bad,False,
578418-mythen_summed.xye,good,False,
578419-mythen_summed.xye,bad,False,
578420-mythen_summed.xye,good,False,
578583-mythen_summed.xye,good,False,
578584-mythen_summed.xye,good,False,
578585-mythen_summed.xye,good,False,
578586-mythen_summed.xye,good,False,
578587-mythen_summed.xye,bad,False,
578588-mythen_summed.xye,good,False,
578589-mythen_summed.xye,good,False,
578590-mythen_summed.xye,good,False,
578591-mythen_summed.xye,good,False,
578757-mythen_summed.xye,good,False,
578758-mythen_summed.xye,good,False,
578759-mythen_summed.xye,bad,False,
578760-mythen_summed.xye,bad,False,
578761-mythen_summed.xye,good,False,
578762-mythen_summed.xye,good,False,
578764-mythen_summed.xye,good,False,
578948-mythen_summed.xye,good,False,
578949-mythen_summed.xye,bad,False,
578950-mythen_summed.xye,good,False,
578951-mythen_summed.xye,good,False,
578952-mythen_summed.xye,good,False,
578953-mythen_summed.xye,good,False,
578954-mythen_summed.xye,good,False,
578955-mythen_summed.xye,good,False,
578956-mythen_summed.xye,good,False,
578549-mythen_summed.xye,good,False,
578550-mythen_summed.xye,good,False,
578551-mythen_summed.xye,good,False,
578552-mythen_summed.xye,good,False,
578553-mythen_summed.xye,good,False,
578554-mythen_summed.xye,good,False,
578555-mythen_summed.xye,good,False,
578556-mythen_summed.xye,good,False,
578557-mythen_summed.xye,good,False,
578719-mythen_summed.xye,good,False,
578720-mythen_summed.xye,good,False,
578721-mythen_summed.xye,good,False,
578722-mythen_summed.xye,good,False,
578723-mythen_summed.xye,good,False,
578903-mythen_summed.xye,good,False,
578904-mythen_summed.xye,bad,False,
578905-mythen_summed.xye,good,False,
578906-mythen_summed.xye,good,False,
578907-mythen_summed.xye,good,False,
578908-mythen_summed.xye,good,False,
578909-mythen_summed.xye,good,False,
579107-mythen_summed.xye,good,False,
579108-mythen_summed.xye,bad,False,
579109-mythen_summed.xye,bad,False,
579110-mythen_summed.xye,good,False,
579111-mythen_summed.xye,good,False,
579112-mythen_summed.xye,good,False,
579113-mythen_summed.xye,good,False,
579114-mythen_summed.xye,good,False,
579115-mythen_summed.xye,good,False,
578422-mythen_summed.xye,good,False,
578423-mythen_summed.xye,bad,False,
578424-mythen_summed.xye,good,False,
578425-mythen_summed.xye,bad,False,
578426-mythen_summed.xye,good,False,
578427-mythen_summed.xye,good,False,
578428-mythen_summed.xye,good,False,
578429-mythen_summed.xye,good,False,
578430-mythen_summed.xye,good,False,
578593-mythen_summed.xye,good,False,
578594-mythen_summed.xye,good,False,
578595-mythen_summed.xye,good,False,
578596-mythen_summed.xye,good,False,
578597-mythen_summed.xye,good,False,
578598-mythen_summed.xye,good,False,
578599-mythen_summed.xye,good,False,
578600-mythen_summed.xye,good,False,
578601-mythen_summed.xye,good,False,
578767-mythen_summed.xye,good,False,
578768-mythen_summed.xye,good,False,
578769-mythen_summed.xye,good,False,
578770-mythen_summed.xye,good,False,
578771-mythen_summed.xye,good,False,
578772-mythen_summed.xye,good,False,
578773-mythen_summed.xye,bad,False,
578774-mythen_summed.xye,good,False,
578775-mythen_summed.xye,good,False,
578958-mythen_summed.xye,bad,False,
578959-mythen_summed.xye,good,False,
578960-mythen_summed.xye,good,False,
578961-mythen_summed.xye,good,False,
