Filename,ML Task Feature (Additive - label),ML Task Feature (Additive - concentration),ML Task Feature (Additive - pKa (COOH group)),ML Task Feature (Additive - pKb (NH2 group)),ML Task Feature (Additive - pI),ML Task Feature (Additive - pKc (other group)),ML Task Target (Calcite unit-cell length a),ML Task Target (Calcite unit-cell length c),ML Task Target (Calcite phase present),ML Task Target (Vaterite unit-cell length a),ML Task Target (Vaterite unit-cell length c),ML Task Target (Vaterite phase present),ML Task Target (Degree of Crystallinity),Excluded (True/False),Split (train/test/validation)
578568-mythen_summed.xye,AdiAci,0,4.41,5.41,,,4.99646,17.05847,TRUE,,,FALSE,59.33704,False,
578569-mythen_summed.xye,AdiAci,0.2,4.41,5.41,,,4.99266,17.06417,TRUE,4.12708,8.47056,TRUE,60.97497,False,
578570-mythen_summed.xye,AdiAci,0.3,4.41,5.41,,,4.99251,17.06537,TRUE,4.12663,8.47351,TRUE,61.98826,False,
578571-mythen_summed.xye,AdiAci,0.4,4.41,5.41,,,4.99255,17.06367,TRUE,4.12723,8.47062,TRUE,58.49441,False,
578572-mythen_summed.xye,AdiAci,0.5,4.41,5.41,,,4.99151,17.08244,TRUE,4.12752,8.47219,TRUE,68.52662,False,
578573-mythen_summed.xye,AdiAci,0.6,4.41,5.41,,,4.99411,17.06105,TRUE,,,FALSE,61.03089,False,
578574-mythen_summed.xye,AdiAci,0.7,4.41,5.41,,,4.99286,17.06275,TRUE,4.12711,8.47122,TRUE,60.63909,False,
578575-mythen_summed.xye,AdiAci,0.8,4.41,5.41,,,4.99217,17.06549,TRUE,,,FALSE,60.22418,False,
578576-mythen_summed.xye,AdiAci,1,4.41,5.41,,,4.9907,17.07187,TRUE,4.12706,8.47088,TRUE,61.06441,False,
578728-mythen_summed.xye,AdiAci,0,4.41,5.41,,,4.9911,17.06857,TRUE,4.12786,8.4707,TRUE,60.90285,False,
578729-mythen_summed.xye,AdiAci,0.2,4.41,5.41,,,4.9926,17.06617,TRUE,4.12673,8.47324,TRUE,56.24491,False,
578731-mythen_summed.xye,AdiAci,0.4,4.41,5.41,,,4.99153,17.06769,TRUE,4.12762,8.47106,TRUE,56.4508,False,
578733-mythen_summed.xye,AdiAci,0.7,4.41,5.41,,,4.9924,17.06691,TRUE,4.12661,8.47305,TRUE,53.95204,False,
578734-mythen_summed.xye,AdiAci,0.8,4.41,5.41,,,4.99115,17.07374,TRUE,4.12723,8.46919,TRUE,66.95992,False,
578735-mythen_summed.xye,AdiAci,1,4.41,5.41,,,4.99155,17.06934,TRUE,4.1279,8.47085,TRUE,63.74159,False,
579124-mythen_summed.xye,AdiAci,0,4.41,5.41,,,4.99521,17.05942,TRUE,4.12869,8.47075,TRUE,61.73136,False,
579126-mythen_summed.xye,AdiAci,0.2,4.41,5.41,,,4.99279,17.06465,TRUE,4.12692,8.47343,TRUE,58.07575,False,
579127-mythen_summed.xye,AdiAci,0.3,4.41,5.41,,,4.99291,17.07158,TRUE,4.12771,8.474,TRUE,69.94932,False,
578661-mythen_summed.xye,Ala,0,2.33,9.71,6,,4.99698,17.05488,TRUE,4.12214,8.48079,TRUE,58.39003,False,
578662-mythen_summed.xye,Ala,0.25,2.33,9.71,6,,4.99688,17.05659,TRUE,4.12685,8.47225,TRUE,55.45621,False,
578663-mythen_summed.xye,Ala,0.5,2.33,9.71,6,,4.99597,17.0591,TRUE,4.12535,8.47152,TRUE,57.76826,False,
578664-mythen_summed.xye,Ala,0.75,2.33,9.71,6,,4.99618,17.06716,TRUE,4.12722,8.47425,TRUE,56.99211,False,
578665-mythen_summed.xye,Ala,1,2.33,9.71,6,,4.99557,17.06169,TRUE,4.12843,8.47068,TRUE,62.35062,False,
578823-mythen_summed.xye,Ala,0,2.33,9.71,6,,4.99611,17.05593,TRUE,,,FALSE,60.87227,False,
578824-mythen_summed.xye,Ala,0.25,2.33,9.71,6,,4.99723,17.05433,TRUE,4.12753,8.47169,TRUE,58.68329,False,
578825-mythen_summed.xye,Ala,0.5,2.33,9.71,6,,4.9942,17.06413,TRUE,4.12809,8.46979,TRUE,59.86951,False,
578826-mythen_summed.xye,Ala,0.75,2.33,9.71,6,,4.99673,17.06329,TRUE,4.12783,8.47336,TRUE,59.28234,False,
578828-mythen_summed.xye,Ala,1,2.33,9.71,6,,4.99538,17.06584,TRUE,4.12746,8.47305,TRUE,59.26895,False,
578829-mythen_summed.xye,Ala,1.25,2.33,9.71,6,,4.99633,17.07117,TRUE,4.12757,8.47378,TRUE,59.72965,False,
578830-mythen_summed.xye,Ala,1.5,2.33,9.71,6,,4.99445,17.08547,TRUE,4.12713,8.47404,TRUE,58.79485,False,
578831-mythen_summed.xye,Ala,1.75,2.33,9.71,6,,4.99564,17.07197,TRUE,4.12713,8.47382,TRUE,58.26742,False,
578832-mythen_summed.xye,Ala,2,2.33,9.71,6,,4.99606,17.07928,TRUE,4.12724,8.47497,TRUE,60.34896,False,
579038-mythen_summed.xye,Ala,0,2.33,9.71,6,,4.99771,17.05632,TRUE,4.12955,8.46824,TRUE,61.75266,False,
579039-mythen_summed.xye,Ala,0.25,2.33,9.71,6,,4.99551,17.05938,TRUE,4.1286,8.46844,TRUE,58.01382,False,
579040-mythen_summed.xye,Ala,0.5,2.33,9.71,6,,4.99544,17.06319,TRUE,4.12867,8.46897,TRUE,57.30407,False,
579041-mythen_summed.xye,Ala,0.75,2.33,9.71,6,,4.99499,17.06732,TRUE,4.12847,8.46965,TRUE,56.21191,False,
579042-mythen_summed.xye,Ala,1,2.33,9.71,6,,4.99506,17.06942,TRUE,4.12904,8.46943,TRUE,55.23457,False,
579043-mythen_summed.xye,Ala,1.25,2.33,9.71,6,,4.99363,17.06395,TRUE,4.12911,8.46891,TRUE,59.98591,False,
579044-mythen_summed.xye,Ala,1.5,2.33,9.71,6,,4.99462,17.07414,TRUE,4.1287,8.47007,TRUE,55.49155,False,
579045-mythen_summed.xye,Ala,1.75,2.33,9.71,6,,4.99537,17.06823,TRUE,4.12916,8.47032,TRUE,57.9792,False,
579046-mythen_summed.xye,Ala,2,2.33,9.71,6,,4.99739,17.0539,TRUE,4.1289,8.46718,TRUE,58.14557,False,
579177-mythen_summed.xye,Ala,0,2.33,9.71,6,,4.99386,17.06151,TRUE,4.12899,8.46748,TRUE,59.40222,False,
579178-mythen_summed.xye,Ala,0.25,2.33,9.71,6,,4.99237,17.0656,TRUE,4.12869,8.46834,TRUE,59.03792,False,
579179-mythen_summed.xye,Ala,0.5,2.33,9.71,6,,4.99248,17.06801,TRUE,4.12808,8.46986,TRUE,57.4995,False,
579180-mythen_summed.xye,Ala,0.75,2.33,9.71,6,,4.99377,17.0663,TRUE,4.12858,8.46881,TRUE,56.02136,False,
579182-mythen_summed.xye,Ala,1,2.33,9.71,6,,4.99321,17.0733,TRUE,,,FALSE,76.07531,False,
579183-mythen_summed.xye,Ala,1.25,2.33,9.71,6,,4.99059,17.07537,TRUE,4.12861,8.46775,TRUE,62.6024,False,
579185-mythen_summed.xye,Ala,1.75,2.33,9.71,6,,4.99473,17.06121,TRUE,4.12929,8.46897,TRUE,58.88214,False,
579186-mythen_summed.xye,Ala,2,2.33,9.71,6,,4.99321,17.07737,TRUE,4.12908,8.47071,TRUE,57.49241,False,
578603-mythen_summed.xye,Arg,0,2.03,9,10.76,12.1,4.99794,17.05265,TRUE,4.12792,8.47051,TRUE,62.08652,False,
