grid_name,experiment_name,collection_temperature,scan_range,detector_distance,indexation,diff_limit,r_int,collection_program,processing_program,frames_collected,frame_conversion_program,diff_img_tiff_filename,grain_img_tiff_filename,frames_tiff_filenames,3D EM quality
grid_000001,exp_228,295.0,130.0,652.0,46.56,1.0,0.0964,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000001_exp_228\exp_228_middle_microed_diff_snapshot.tiff,,./grid_000001_exp_228\exp_228_1_*.tiff,bad
grid_000002,exp_229,295.0,130.0,652.0,0.0,1.44,0.3733,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000002_exp_229\exp_229_middle_microed_diff_snapshot.tiff,,./grid_000002_exp_229\exp_229_1_*.tiff,bad
grid_000003,exp_230,295.0,125.0,652.0,16.94,1.63,0.5118,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000003_exp_230\exp_230_middle_microed_diff_snapshot.tiff,,./grid_000003_exp_230\exp_230_1_*.tiff,bad
grid_000004,exp_231,295.0,115.0,652.0,48.37,1.28,0.1952,Unknown,CrysAlisPro(RED) 43.97a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000004_exp_231\exp_231_middle_microed_diff_snapshot.tiff,,./grid_000004_exp_231\exp_231_1_*.tiff,bad
grid_000005,exp_232,295.0,125.0,652.0,24.46,1.09,0.1899,Unknown,CrysAlisPro(RED) 43.97a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000005_exp_232\exp_232_middle_microed_diff_snapshot.tiff,,./grid_000005_exp_232\exp_232_1_*.tiff,bad
grid_000006,exp_233,295.0,132.0,652.0,77.76,1.46,0.2912,Unknown,CrysAlisPro(RED) 43.97a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000006_exp_233\exp_233_middle_microed_diff_snapshot.tiff,,./grid_000006_exp_233\exp_233_1_*.tiff,complex
grid_000007,exp_234,295.0,139.0,652.0,35.59,1.03,0.1183,Unknown,CrysAlisPro(RED) 43.97a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000007_exp_234\exp_234_middle_microed_diff_snapshot.tiff,,./grid_000007_exp_234\exp_234_1_*.tiff,bad
grid_000008,exp_235,295.0,142.0,652.0,53.09,1.38,0.2996,Unknown,CrysAlisPro(RED) 43.97a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000008_exp_235\exp_235_middle_microed_diff_snapshot.tiff,,./grid_000008_exp_235\exp_235_1_*.tiff,complex
grid_000011,exp_286,295.0,90.0,652.0,45.62,1.11,0.207,Unknown,CrysAlisPro(RED) 43.100a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000011_exp_286\exp_286_middle_microed_diff_snapshot.tiff,,./grid_000011_exp_286\exp_286_1_*.tiff,bad
grid_000012,exp_287,295.0,117.0,652.0,30.13,1.73,0.4074,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000012_exp_287\exp_287_middle_microed_diff_snapshot.tiff,,./grid_000012_exp_287\exp_287_1_*.tiff,bad
grid_000013,exp_288,295.0,121.0,652.0,80.0,1.28,0.3216,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000013_exp_288\exp_288_middle_microed_diff_snapshot.tiff,,./grid_000013_exp_288\exp_288_1_*.tiff,complex
grid_000014,exp_289,295.0,111.0,652.0,37.79,1.45,0.3058,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000014_exp_289\exp_289_middle_microed_diff_snapshot.tiff,,./grid_000014_exp_289\exp_289_1_*.tiff,bad
grid_000015,exp_290,295.0,111.0,652.0,37.5,0.98,0.2053,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000015_exp_290\exp_290_middle_microed_diff_snapshot.tiff,,./grid_000015_exp_290\exp_290_1_*.tiff,bad
grid_000016,exp_291,295.0,110.0,652.0,63.96,1.79,0.3584,Unknown,CrysAlisPro(RED) 43.100a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000016_exp_291\exp_291_middle_microed_diff_snapshot.tiff,,./grid_000016_exp_291\exp_291_1_*.tiff,complex
grid_000017,exp_292,295.0,110.0,1930.0,0.0,1.5,0.1417,Unknown,CrysAlisPro(RED) 43.100a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000017_exp_292\exp_292_middle_microed_diff_snapshot.tiff,,./grid_000017_exp_292\exp_292_1_*.tiff,bad
